,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,axlearn,Python
10,batch-processing-gateway,Java
11,ccs-caldavclientlibrary,HTML
12,ccs-caldavtester,Python
13,ccs-calendarserver,Python
14,ccs-pycalendar,Python
15,ccs-pykerberos,C
16,ccs-pyopendirectory,C++
17,ccs-pyosxframeworks,Python
18,ccs-pysecuretransport,Python
19,ccs-twistedextensions,Python
20,coremltools,Python
21,cups,C
22,darwin-libplatform,C
23,darwin-libpthread,C
24,darwin-xnu,C
25,device-management,
26,dnikit,Python
27,example-package-dealer,Swift
28,example-package-deckofplayingcards,Swift
29,example-package-figlet,Swift
30,example-package-fisheryates,Swift
31,example-package-playingcard,Swift
32,FHIRModels,Swift
33,foundationdb,C++
34,fstools,C
35,game-center-tools,Python
36,GCGC,Jupyter Notebook
37,homebrew-apple,Ruby
38,HomeKitADK,C
39,indexstore-db,C++
40,learning-compressible-subspaces,Python
41,learning-subspaces,Python
42,llvm-monorepo-root,
43,llvm-project,
44,llvm-project-v5,C++
45,llvm-project-v5-split,C++
46,MaterialX,
47,ml-afv,Python
48,ml-all-pairs,Python
49,ml-ane-transformers,Python
50,ml-aspanformer,Python
51,ml-autofocusformer,Python
52,ml-autofocusformer-segmentation,Python
53,ml-batchquant,Python
54,ml-behavioral-testing-for-mt,
55,ml-calibration,Jupyter Notebook
56,ml-capsules-inverted-attention-routing,Python
57,ml-cifar-10-faster,Python
58,ml-code-switched-speech-translation,Python
59,ml-codeswitching-translations,
60,ml-collegial-ensembles,Python
61,ml-core,Python
62,ml-covid-mobility,R
63,ml-cread,Python
64,ml-cvnets,Python
65,ml-cvpr2019-swd,Python
66,ml-dab,Python
67,ml-data-parameters,Python
68,ml-delphi,
69,ml-destseg,Python
70,ml-dms-dataset,Python
71,ml-dprecs,Jupyter Notebook
72,ml-dr,Python
73,ml-duet,Python
74,ml-entropy-reconstruction,Python
75,ml-envmapnet,Python
76,ml-equivariant-neural-rendering,Jupyter Notebook
77,ml-facelit,Python
78,ml-fastvit,Python
79,ml-fct,Python
80,ml-ferret,Python
81,ml-finerecon,Python
82,ml-flair,Jupyter Notebook
83,ml-gaudi,
84,ml-gmpi,Python
85,ml-gsn,Python
86,ml-heart-rate-models,Python
87,ml-hierarchical-confusion-matrix,TypeScript
88,ml-hypersim,Python
89,ml-interspeech2022-phi_rtn,
90,ml-kge,Python
91,ml-knowledge-conflicts,Python
92,ml-live-pose,
93,ml-mkqa,Python
94,ml-mobileone,Swift
95,ml-multiple-futures-prediction,Python
96,ml-ncg,Python
97,ml-neilf,Python
98,ml-neilfpp,Python
99,ml-neuman,Python
100,ml-no-token-left-behind,Jupyter Notebook
101,ml-nvas3d,Python
102,ml-pointconvformer,Python
103,ml-pointersect,Python
104,ml-probabilistic-attention,Python
105,ml-projunit,Python
106,ml-qrecc,Python
107,ml-quant,Python
108,ml-reed,Python
109,ml-robust-expert-augmentations,Python
110,ml-sad,Python
111,ml-selfcond,Python
112,ml-shuffling-amplification,Python
113,ml-sigma-reparam,Python
114,ml-spatial-librispeech,
115,ml-spin,Python
116,ml-stable-diffusion,Python
117,ml-stuttering-events-dataset,Python
118,ml-symphony,Svelte
119,ml-tic-clip,
120,ml-tract,Python
121,ml-transcript-translation-consistency-ratings,
122,ml-translate-vis,TypeScript
123,ml-tree-dst,Python
124,ml-tune-mode-convbn,Python
125,ml-upscale,Jupyter Notebook
126,ml-uwac,Python
127,ml-vfi-smiff,Python
128,openjdk,Java
129,password-manager-resources,JavaScript
130,sample-backyard-birds,Swift
131,sample-cloudkit-coredatasync,Swift
132,sample-cloudkit-encryption,Swift
133,sample-cloudkit-privatedb,Swift
134,sample-cloudkit-privatedb-sync,Swift
135,sample-cloudkit-queries,Swift
136,sample-cloudkit-sharing,Swift
137,sample-cloudkit-sync-engine,Swift
138,sample-cloudkit-tooling,JavaScript
139,sample-cloudkit-zonesharing,Swift
140,sample-food-truck,Swift
141,servicetalk,Java
142,sourcekit-lsp,Swift
143,swift,C++
144,swift-3-api-guidelines-review,Swift
145,swift-algorithms,Swift
146,swift-aoc-starter-example,Swift
147,swift-argument-parser,Swift
148,swift-asn1,Swift
149,swift-async-algorithms,Swift
150,swift-async-dns-resolver,Swift
151,swift-atomics,Swift
152,swift-book,Markdown
153,swift-cassandra-client,Swift
154,swift-certificates,Swift
155,swift-clang,C++
156,swift-clang-tools-extra,C++
157,swift-cluster-membership,Swift
158,swift-cmake-examples,CMake
159,swift-cmark,C
160,swift-collections,Swift
161,swift-collections-benchmark,Swift
162,swift-community-hosted-continuous-integration,
163,swift-compiler-rt,C
164,swift-corelibs-foundation,Swift
165,swift-corelibs-libdispatch,C
166,swift-corelibs-xctest,Swift
167,swift-crypto,C
168,swift-distributed-actors,Swift
169,swift-distributed-tracing,Swift
170,swift-distributed-tracing-baggage-core,Swift
171,swift-distributed-tracing-extras,Swift
172,swift-docc,Swift
173,swift-docc-plugin,Swift
174,swift-docc-render,JavaScript
175,swift-docc-render-artifact,
176,swift-docc-symbolkit,Swift
177,swift-docker,Dockerfile
178,swift-driver,Swift
179,swift-evolution,Markdown
180,swift-evolution-staging,Swift
181,swift-experimental-string-processing,Swift
182,swift-format,Swift
183,swift-foundation,Swift
184,swift-foundation-icu,C
185,swift-getting-started-cli,Swift
186,swift-getting-started-package-library,Swift
187,swift-http-structured-headers,Swift
188,swift-http-types,Swift
189,swift-installer-scripts,CMake
190,swift-integration-tests,Python
191,swift-internals,HTML
192,swift-issues,
193,swift-libcxx,C++
194,swift-llbuild,C++
195,swift-llbuild2,Swift
196,swift-lldb,C++
197,swift-llvm,LLVM
198,swift-llvm-bindings,Swift
199,swift-lmdb,C
200,swift-log,Swift
201,swift-markdown,Swift
202,swift-metrics,Swift
203,swift-metrics-extras,Swift
204,swift-mmio,Swift
205,swift-nio,Swift
206,swift-nio-examples,Swift
207,swift-nio-extras,Swift
208,swift-nio-http2,Swift
209,swift-nio-imap,Swift
210,swift-nio-nghttp2-support,Swift
211,swift-nio-ssh,Swift
212,swift-nio-ssl,C
213,swift-nio-ssl-support,Swift
214,swift-nio-transport-services,Swift
215,swift-nio-zlib-support,Swift
216,swift-numerics,Swift
217,swift-openapi-generator,Swift
218,swift-openapi-runtime,Swift
219,swift-openapi-urlsession,Swift
220,swift-org-website,SCSS
221,swift-package-collection-generator,Swift
222,swift-package-manager,Swift
223,swift-package-registry-compatibility-test-suite,Swift
224,swift-protobuf,Swift
225,swift-protobuf-plugin,
226,swift-protobuf-test-conformance,
227,swift-sample-distributed-actors-transport,Swift
228,swift-sdk-generator,Swift
229,swift-se0270-range-set,Swift
230,swift-se0288-is-power,Swift
231,swift-service-context,Swift
232,swift-service-discovery,Swift
233,swift-source-compat-suite,Python
234,swift-standard-library-preview,Swift
235,swift-statsd-client,Swift
236,swift-stress-tester,Swift
237,swift-syntax,Swift
238,swift-system,Swift
239,swift-testing,Swift
